ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_race_population,white_population,black_population,asian_population,hispanic_population,income_distribution,median_household_income,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,homeownership_rate,poverty_rate
90001,3936.0,308.0,7.825203252032519,79.58889300298623,1.016898793082242,45.87371070311247,1.3518069337520555,0.8166042322810383,0.9468,0.9871,0.8586,0.9909,0.6483,57652,16284,4295,348,52642,13597,57698.0,13597,4736,57639,5.4,0.3483121276752224,21.13716783459377
90002,3839.5,324.5,8.451621304857403,84.28789945185436,1.0104359733521655,44.7937173983572,1.3582134116055224,0.8154269794113795,0.9784,0.9901,0.9554,0.9926,0.7503,53108,12306,8355,611,43766,13013,54221.0,13013,5314,53100,5.1,0.4083608698993314,23.988852903517362
90003,5583.5,439.5,7.871406823676905,91.14788489364793,1.117199574586545,45.92741652618997,1.416786540018033,0.8347100970884265,0.9819,0.9924,0.9513,0.9921,0.7833,75024,12889,12352,350,61179,17936,51275.0,17936,4845,75006,4.8,0.2701271186440678,26.84740882917466
90004,2642.0,211.0,7.986373959121877,87.25532219247842,0.9216457461249248,47.51235065682693,1.2153643401947911,0.5812786499113016,0.9,0.9398,0.4368,0.7972,0.9641,58833,17019,2619,14584,27410,23047,58420.0,23047,3794,58765,26.7,0.1646201240942422,19.242601941087482
90005,1537.0,140.0,9.108653220559532,83.06200124585338,1.0181200268138508,50.77260847938786,1.3923551044507618,0.7072037827028652,0.8825,0.9082,0.3308,0.9054,0.978,37754,7371,2006,12305,18603,16607,49226.0,16607,1301,37655,26.3,0.0783404588426567,23.58955342480267
90006,2755.5,211.5,7.675557974959172,85.11008181919985,1.0616636636555916,49.88637524675337,1.328511282365438,0.8100570077573456,0.9708,0.9556,0.6541,0.9524,0.9977,56628,13244,1669,10370,41030,19100,47599.0,19100,2033,56075,16.1,0.1064397905759162,22.764356855265948
90007,1275.5,123.5,9.682477459819678,92.2271787228805,1.1897530189499947,48.08502108490271,1.4064061828403964,0.7693448089999955,0.9538,0.9953,0.4154,0.8459,0.9774,41004,13360,3535,7733,22109,12520,36326.0,12520,1329,40995,16.0,0.1061501597444089,33.1626182811433
90008,1625.5,168.5,10.366041218086744,78.17999133990999,0.8211252082536841,42.24656027343708,1.3771224350731457,0.6654504134744168,0.8175,0.8386,0.7016,0.9518,0.6327,33076,3129,21047,991,8702,14694,57880.0,14694,4632,33053,17.7,0.3152307064107799,18.23981134357238
90010,159.5,27.5,17.24137931034483,80.91519798410319,1.018756896896669,50.54657912101194,1.373787032634591,0.6700706044299678,0.4673,0.4667,0.0585,0.8414,0.7283,4185,803,230,2775,329,2381,92454.0,2381,394,4185,37.2,0.1654766904661906,9.84468339307049
90011,6908.5,562.5,8.14214373597742,85.88389724983686,1.0856061920073552,47.515493412413576,1.347554876857635,0.8481245841548956,0.9702,0.9982,0.8841,0.9887,0.7306,106042,25646,6092,660,97669,24399,51819.0,24399,6519,105900,5.0,0.2671830812738227,26.982704965956884
90012,1044.0,104.0,9.961685823754788,94.6329785165443,1.3935942132541963,53.5531782119884,1.6252701198731043,0.6794360659005463,0.8801,0.9275,0.2329,0.8181,0.9971,38430,9227,5071,13807,10575,14945,58444.0,14945,957,29197,24.6,0.064034794245567,18.589643507676296
90013,843.0,132.0,15.658362989323845,86.92536641111286,1.467375923572916,59.31217956520964,2.0055089836402344,0.5739860108025685,0.8649,0.9637,0.2706,0.7303,0.9444,14587,4749,4039,2055,3492,7781,24853.0,7781,625,14583,21.4,0.0803238658270145,45.64338109275382
90014,299.0,77.0,25.75250836120401,85.1753016407394,1.4528505382481682,60.60413152329214,2.0723580508116077,0.5994928270700369,0.9187,0.9456,0.5423,0.7331,0.9728,9273,3111,1925,2210,2372,6100,26550.0,6100,212,9255,27.0,0.0347540983606557,35.55483662245228
90015,1189.5,130.5,10.970996216897856,96.98951097122688,1.4002923068016018,54.62096452310155,1.7054120947747835,0.6598021344817125,0.8374,0.9146,0.2225,0.8584,0.9432,25554,8332,2315,5197,13400,12838,61959.0,12838,1107,25545,30.0,0.0862283844835644,25.354151991860373
90016,2437.5,200.5,8.225641025641025,91.2010261030414,0.9613995159258742,46.86813917650528,1.3568896332725688,0.6794165665037005,0.8462,0.8947,0.5927,0.9042,0.7746,47309,14557,13028,2111,25816,17601,63090.0,17601,6403,47255,20.2,0.363786148514289,15.286731911475618
90017,1372.0,142.0,10.349854227405247,92.40433389752609,1.3386196906464125,55.07124843721238,1.6711011583960824,0.7409685844273624,0.9567,0.9608,0.6738,0.8952,0.9676,28754,7518,3699,5062,16444,13564,46626.0,13564,734,28707,21.2,0.0541138307283987,35.598525422549905
90018,2500.5,204.5,8.178364327134572,88.82568206311537,0.981032302403643,46.366413544105626,1.2581099784142236,0.736569989279187,0.9684,0.948,0.8476,0.9275,0.9554,49898,13547,12125,3110,29284,16339,58987.0,16339,5369,49276,15.5,0.3286002815349776,21.744358491322295
90019,2962.5,234.5,7.915611814345993,81.86568455793609,0.9129698476328028,48.01691025186476,1.2940118778354566,0.5706128810670149,0.8924,0.9246,0.4884,0.83,0.938,59410,18118,10624,10302,25847,23576,65972.0,23576,5895,58737,24.3,0.2500424160162877,16.59484935196095
90020,1578.0,156.0,9.88593155893536,74.1557675644689,1.0276018738207084,50.5833802224092,1.3785468080662635,0.6539345122670404,0.8345,0.8977,0.2451,0.8907,0.9345,38400,7372,2718,17402,12925,17321,55321.0,17321,1630,38396,33.2,0.0941054211650597,17.984375
90021,162.5,49.5,30.461538461538463,93.14531493466622,1.464836757400729,53.74265304998215,1.7557393121650515,0.6097075922502416,0.9491,0.9936,0.3841,0.8068,0.9797,2781,785,595,195,1336,1459,29659.0,1459,100,2781,14.1,0.0685400959561343,40.30924128011507
90022,3638.5,271.5,7.46186615363474,90.350617979353,1.136568128170486,49.20399775610315,1.2883233715969975,0.7415665324539422,0.8947,0.9012,0.8824,0.9824,0.6541,64147,19305,339,723,61873,17165,65142.0,17165,5949,64115,7.5,0.3465773376055928,16.561959249848005
90023,2677.0,212.0,7.919312663429212,97.15702719349844,1.3847426584637563,52.21526273159072,1.4924829993343005,0.7930169048110733,0.9766,0.9784,0.949,0.9813,0.7978,44558,11036,462,438,42657,11750,52918.0,11750,3095,44403,7.7,0.2634042553191489,22.806230082140132
90024,1215.0,108.0,8.88888888888889,76.68332144480854,0.8289079029483188,45.98485477558104,1.3430704397278053,0.3926278939661894,0.5994,0.6456,0.0435,0.5178,0.9757,50392,27589,2305,13079,6599,16843,74852.0,16843,5602,50384,36.7,0.3326010805675948,18.98118749007779
90025,2221.0,174.0,7.834308869878432,90.43962711114705,0.9224796341721376,46.282992945693856,1.3981801428563956,0.3474076415095609,0.3585,0.452,0.0608,0.4476,0.6083,44429,27345,1542,10062,5626,22166,103511.0,22166,5486,44168,41.4,0.2474961652982044,11.751333588421977
90026,2775.0,226.0,8.144144144144144,89.861115118177,1.1520903753639884,48.95546397780682,1.3103527626362526,0.5337888894310693,0.8257,0.8585,0.3302,0.7071,0.9606,64769,25707,2449,8411,31425,26230,80549.0,26230,6225,64468,29.8,0.2373236751810903,17.756951628093688
90027,1729.5,139.5,8.065915004336514,80.8028404294422,0.8743152187469406,46.481063733712425,1.1674666348836114,0.3415947208826509,0.6474,0.6766,0.208,0.4125,0.8743,45764,29298,1600,5403,10063,21331,86826.0,21331,4462,45390,38.4,0.2091791289672308,13.49750895900708
90028,890.0,90.5,10.168539325842698,93.24824379089624,1.0682204623041156,48.77388459661526,1.3751705835489303,0.4884886266645608,0.8146,0.9006,0.3175,0.5904,0.9241,30982,15361,2773,4122,8898,17228,57258.0,17228,690,30859,36.2,0.0400510796377989,19.430637144148218
90029,1375.0,151.5,11.01818181818182,89.43308875949096,1.0753323068677445,47.83991747088139,1.2746657566230493,0.594797737348191,0.9374,0.945,0.5295,0.7343,0.993,34649,11885,1094,5615,17692,12836,56529.0,12836,1485,34129,25.9,0.1156902461826114,21.89962192271061
90031,1712.5,151.5,8.846715328467154,90.05962398117569,1.12772702745982,48.08275713317282,1.2793154711161605,0.7366721814432738,0.9456,0.9538,0.7457,0.9229,0.9044,37457,7154,819,10896,22113,11960,59889.0,11960,3921,37063,15.6,0.3278428093645485,17.889847024588196
90032,2139.5,177.5,8.296330918438887,81.38872036987189,0.8800459755416695,45.0765942549835,1.1003595834523023,0.6887389095886771,0.9099,0.855,0.8575,0.9161,0.8679,44881,11735,1256,5670,33540,13427,76608.0,13427,7254,44724,15.9,0.5402547106576302,14.337915821839978
90033,2459.5,210.5,8.558650132140679,89.34922326096658,1.4154895226032749,50.86738984838887,1.5338611549869396,0.813949706389188,0.9977,0.9918,0.9606,0.9739,0.9699,47655,9278,907,2151,43099,13341,50616.0,13341,2632,47193,10.4,0.1972865602278689,26.54286014059385
90034,2669.0,225.0,8.430123641813413,92.7937427876862,1.0829735381111667,47.42494587168396,1.47735695530112,0.4076413101144067,0.4959,0.486,0.0713,0.6164,0.8169,55061,25229,5161,10873,14246,25261,97511.0,25261,5137,54848,37.5,0.2033569534064368,8.868346016236538
90035,2093.5,159.5,7.618820157630762,80.58491901789819,0.8337963342175974,45.693485674766606,1.3146572449219385,0.2687968559466389,0.4614,0.4404,0.1275,0.3314,0.7822,26595,18450,1899,1767,3541,11420,110520.0,11420,3657,26382,37.1,0.3202276707530648,8.084226358338034
90036,2288.5,142.5,6.226786104435219,79.03633210100986,0.8653223465112947,47.42967886042497,1.364364603455972,0.3023454746755842,0.4357,0.5292,0.0498,0.4448,0.7462,37713,22708,2388,7222,5146,19753,97583.0,19753,2915,37569,44.1,0.1475725206297777,10.821202237955081
90037,4017.0,310.0,7.717201891959173,88.7256483799127,1.087985863023316,46.31496742151322,1.3348479240149038,0.8230950066181135,0.9942,0.9778,0.9102,0.979,0.971,69064,18935,10654,901,55159,17571,52238.0,17571,4416,68860,6.5,0.2513232030049513,26.414629908490678
90038,1013.5,106.0,10.458806117414898,93.37697665865107,0.9549317636424568,47.636034307334455,1.2777541797058567,0.5545244929233629,0.8591,0.955,0.1808,0.7054,0.989,27979,11254,1910,1695,14620,12929,57102.0,12929,1026,27978,27.8,0.0793564854203728,18.97137138568212
90039,1319.0,101.0,7.657316148597422,89.71950034892772,0.93065430489,45.93614237458727,1.1471488910180383,0.3867384747532358,0.4825,0.4088,0.248,0.596,0.6199,28244,14131,452,5772,8788,12052,108338.0,12052,5662,27968,37.6,0.4697975439761035,8.90808667327574
90040,667.0,93.5,14.017991004497752,94.33236250176134,1.304099051894832,51.45897437827724,1.3487080174444337,0.7405960653505229,0.9211,0.8357,0.9716,0.9802,0.7248,11839,4095,62,234,11235,3441,62083.0,3441,1838,11811,8.9,0.5341470502760826,15.693893065292677
90041,1134.5,94.5,8.329660643455266,84.09921780009402,0.7688209462659882,42.88446555271682,1.0106410230658067,0.4317967339989364,0.6158,0.3959,0.4786,0.6918,0.8355,28321,11874,574,7148,9902,9875,111938.0,9875,5150,28123,33.6,0.5215189873417722,9.643021079764132
90042,2797.0,223.0,7.972828030032178,70.9834007188755,0.7864881617444849,43.78273894457752,1.0605659459196468,0.601853572525976,0.7696,0.7608,0.4218,0.7813,0.8494,59151,20966,1283,8408,34183,21199,89168.0,21199,9549,58930,26.2,0.4504457757441388,10.564487498098089
90043,2339.5,245.5,10.493695234024363,77.06166396041925,0.8053510571024048,43.7619091697808,1.5224622830121255,0.6501289969337005,0.9018,0.8251,0.8604,0.9445,0.8633,44461,5982,26642,936,11744,17132,63990.0,17132,9093,44177,19.0,0.5307611487275274,16.50885045320618
90044,6247.0,601.0,9.620617896590364,86.65283321614655,1.136672228827246,45.4848866502612,1.461694917281787,0.7908378385614914,0.9936,0.9854,0.9664,0.9864,0.8563,98990,16893,30985,899,65034,27738,48386.0,27738,8441,98889,7.6,0.3043117744610282,26.619860591978988
90045,1908.0,154.0,8.071278825995808,83.9578448757385,0.879493987467338,46.97486035224516,2.366286629889074,0.2977972982956164,0.2579,0.2591,0.0689,0.5195,0.5156,41123,23160,3601,6130,8000,15852,125692.0,15852,7596,41085,37.8,0.4791824375473126,7.805850740461542
90046,1515.5,97.5,6.433520290333224,86.36561231055855,0.8913253773728915,45.4847483747045,1.3623389351082746,0.2646951418898849,0.5532,0.5848,0.164,0.3326,0.7972,48170,34073,2654,3348,7432,28346,87339.0,28346,6110,47874,42.0,0.2155506949834191,11.652480797176667
90047,2778.0,254.0,9.14326853851692,78.05615415222634,0.9261596466219592,43.86676468579073,1.583579356837099,0.6938888439826689,0.8936,0.8368,0.9473,0.9768,0.6866,52200,6904,27004,491,21532,17202,67018.0,17202,9291,52142,12.4,0.5401116149284967,17.340996168582375
90048,1245.0,130.0,10.441767068273093,86.915991536902,0.828607244929003,46.87804752359517,1.4065953920797765,0.2276019239557673,0.3439,0.3637,0.1721,0.2062,0.5603,20411,15644,819,1474,1629,11564,102244.0,11564,3342,20028,43.7,0.2890003459010723,11.297829601685367
90049,1717.0,145.5,8.474082702387886,74.84521855440168,0.6942816032382428,41.270222008516846,1.1101885926033856,0.1617894927191005,0.1181,0.083,0.0927,0.183,0.4473,35819,28337,528,3003,2932,16151,161605.0,16151,8793,35817,40.1,0.5444244938393907,5.653424160361819
90056,323.0,49.5,15.325077399380804,80.79573333941583,0.8363266034730472,43.76967648368373,1.5472225710158476,0.5285812116733218,0.2871,0.1275,0.3911,0.8963,0.3343,8225,1106,5285,361,920,3432,123457.0,3432,1984,8214,34.6,0.578088578088578,7.234042553191489
90057,2451.5,244.5,9.973485621048338,86.95027345335973,1.1588114817915869,51.66795973034088,1.4161588984013604,0.7949180349015302,0.983,0.9731,0.8407,0.9496,0.9745,47142,10477,3173,8414,32128,16986,46513.0,16986,511,46128,17.5,0.0300835982573884,27.009885028212633
90058,278.0,71.5,25.719424460431657,87.54032083454793,1.051855860475301,47.93149039160424,1.3722016845272698,0.8173470181341776,0.8556,0.9135,0.8488,0.8992,0.5597,3049,1333,504,15,2110,1039,34093.0,1039,138,3047,19.4,0.1328200192492781,28.730731387340114
90059,3162.0,272.0,8.60215053763441,88.71015466591311,1.100953940844147,41.8046037351797,1.237928972110237,0.8029466786154507,0.9883,0.9895,0.934,0.9847,0.8667,39471,8303,10320,209,27628,10351,50939.0,10351,4797,39278,7.9,0.4634334846874698,23.523599604773125
90061,1969.5,188.5,9.570957095709572,93.67829191615438,1.1906711674835508,42.458472000054016,1.295852783409587,0.7416960202795284,0.9959,0.9643,0.9757,0.9836,0.9739,28646,6444,7639,240,19869,7666,56837.0,7666,3094,28334,9.1,0.4036003130707018,23.378482161558335
90062,1882.5,192.5,10.225763612217795,78.40608725972162,0.908111977427595,45.11981645954888,1.2426354184845247,0.7529468923137131,0.9111,0.9269,0.8725,0.9671,0.697,33528,7282,9036,772,21555,9802,61422.0,9802,4624,33509,11.3,0.4717404611303815,15.575041756144117
90063,2957.0,223.0,7.541427122083193,82.82140347600975,1.1928197074861402,48.319591107262966,1.2941420475557388,0.761863791483114,0.893,0.917,0.8355,0.9705,0.6744,52008,12495,302,971,48835,13529,69307.0,13529,5028,51985,9.3,0.371646093576761,16.21289032456545
90064,1201.0,108.0,8.992506244796003,91.44937751366572,1.004523445993882,47.53312182369424,1.3926170719162143,0.2929845677747031,0.2591,0.2035,0.1651,0.43,0.4629,25956,16009,619,4902,3737,11414,123929.0,11414,5944,25831,37.4,0.5207639740669353,7.254584681769148
90065,2193.5,146.5,6.67882379758377,81.22510501437806,0.9683562767232116,45.66789231766848,1.1563421823717372,0.5615986311921688,0.7456,0.7228,0.533,0.7286,0.7451,44897,17169,817,6643,23264,16200,88329.0,16200,7704,44830,24.9,0.4755555555555555,13.38619506871283
90066,2647.0,191.0,7.215715904797884,87.75043347530524,0.933647413106273,44.5564611820087,1.513290268675907,0.3847153145398607,0.4842,0.4105,0.1976,0.5269,0.6999,54142,31481,2639,7989,13822,24679,100344.0,24679,9061,53866,35.0,0.3671542607074841,6.953935946215507
90067,137.5,27.5,20.0,89.29429775555835,0.8457156876748169,48.56440230086885,1.536228766738548,0.2091732064482825,0.4181,0.2135,0.701,0.2929,0.5226,2653,1825,61,473,166,1719,125995.0,1719,1120,2653,34.9,0.6515415939499709,6.633999246136449
90068,906.0,71.5,7.891832229580574,81.71651731264498,0.8110038221671085,44.73523274498791,1.0890266559614934,0.230054664506691,0.2959,0.4333,0.0539,0.2476,0.5521,21064,16010,1419,1281,2521,11740,97151.0,11740,5447,21050,40.5,0.46396933560477,10.093049753133307
90069,674.0,66.0,9.792284866468842,85.48900010210369,0.8766029721451095,45.95187453747742,1.4100843122850215,0.2190824437864177,0.2643,0.4164,0.1066,0.1677,0.3893,20045,16365,521,1220,1565,13004,106133.0,13004,5293,20045,44.2,0.40702860658259,10.915440259416313
90071,33.0,0.0,0.0,97.35487106162267,1.427719278662285,60.39796020701492,2.0405308798235677,0.5155445135935227,0.6374,1.0,0.0342,0.8601,0.3233,313,52,87,0,138,8,89110.0,8,8,313,0.0,1.0,85.94249201277955
90077,368.5,49.5,13.432835820895525,63.28405979484964,0.6131202793050692,39.5378620773525,0.9909008029269292,0.1607033692413755,0.1386,0.162,0.42,0.1592,0.1773,7868,6262,180,539,467,3001,203194.0,3001,2560,7868,29.4,0.8530489836721094,4.677173360447382
90089,38.5,5.5,14.285714285714285,99.2932473108986,1.210224512188245,45.58600148044383,1.274469838520902,0.7343016381316982,0.5251,0.6503,0.0098,0.6147,0.9919,4164,1838,409,1091,653,6,89110.0,6,0,4164,45.9,0.0,0.31219980787704127
90094,912.0,89.0,9.758771929824562,95.25626669601095,0.7895946575457873,41.48887394521618,1.6851899715839715,0.321986293160606,0.1135,0.0439,0.0869,0.4459,0.4282,11891,6968,889,2123,1733,5903,156536.0,5903,1773,11820,42.9,0.3003557513128917,5.937263476578925
90201,5436.5,365.5,6.723075508139428,81.32553894649364,0.9235442411479888,45.610184746022334,1.1969903481233433,0.7877135913588864,0.9778,0.9708,0.8192,0.966,0.9594,95134,41638,1598,651,89297,24126,53692.0,24126,5035,94746,6.0,0.2086960126005139,24.123867387054048
90210,785.5,77.0,9.8026734563972,67.42155166388581,0.7363526859105046,43.8988161340016,1.2503697321230849,0.1628803387247712,0.2012,0.1456,0.4838,0.1246,0.3169,19180,15927,320,1101,1145,7893,172285.0,7893,5853,19163,31.0,0.741543139490688,9.092805005213764
90211,441.0,49.5,11.224489795918368,87.91795382796396,0.8168655004058776,46.98348394734284,1.4215248355857186,0.2260569871138033,0.5058,0.538,0.595,0.3479,0.3853,9208,6234,209,1830,765,3784,115025.0,3784,1534,9166,35.0,0.4053911205073995,11.2619461337967
90212,508.5,66.0,12.979351032448378,86.7361207719242,0.7833483173571729,46.71205829067004,1.3837509197180955,0.1924483721408827,0.3807,0.5064,0.2393,0.2697,0.398,10881,8058,188,1394,911,5483,101963.0,5483,1221,10881,38.6,0.2226883093197154,9.576325705357963
90220,3259.5,261.5,8.022702868538119,79.25832228922991,0.9354445585660685,41.08200796710634,1.0337553309878829,0.7224487928330011,0.9626,0.9152,0.9432,0.9819,0.8581,49101,8867,14106,528,32418,13710,69901.0,13710,8531,49090,7.8,0.6222465353756382,19.40286348546873
90221,3717.5,262.5,7.061197041022192,89.92569206245345,0.96518820640013,39.85731461638907,1.006943195177609,0.7775086923121616,0.9363,0.9491,0.865,0.9898,0.7393,52119,10250,9862,517,40890,12588,64439.0,12588,6780,52057,6.6,0.5386081982840801,17.028338993457282
90222,2311.5,216.5,9.36621241617997,81.38461626304834,0.9422299966617308,40.07788689196166,1.0374403316136878,0.7521793210302693,0.9661,0.9474,0.8864,0.9875,0.8899,33021,7485,7908,402,24153,8568,68722.0,8568,4356,32908,8.1,0.5084033613445378,16.368371642288242
90230,1500.5,116.5,7.7640786404531825,89.90096002697322,0.9181745337253756,43.465891511462125,1.5394638152354274,0.3684117868816285,0.4918,0.376,0.2683,0.6187,0.6727,32005,16780,2832,4521,9649,13290,107870.0,13290,7686,31904,31.1,0.5783295711060948,10.876425558506483
90232,791.5,71.5,9.033480732785849,84.20921029735473,0.9305105846758532,45.8416455850675,1.411390872076636,0.3180786519667355,0.3146,0.2842,0.0846,0.5388,0.6199,16352,9182,673,3599,3376,7183,113278.0,7183,3088,16339,35.2,0.4299039398579981,7.87059686888454
90401,294.0,44.0,14.965986394557824,96.70186481680965,0.956196642461013,42.7032408856212,1.2556460520884605,0.3496626486642649,0.5187,0.5942,0.1796,0.2487,0.6941,7480,5517,622,464,550,4789,89892.0,4789,295,7428,46.3,0.0615994988515347,19.318181818181817
90402,419.5,49.5,11.799761620977357,72.96559118153395,0.6245507846197308,37.6690497753216,0.9302043561998516,0.1644637074005537,0.1199,0.052,0.3905,0.2181,0.2416,11816,9274,66,1035,1383,4777,171844.0,4777,3556,11816,33.6,0.7444002512036844,6.922816519972919
90403,1171.5,92.0,7.8531796841656,89.64723929228944,0.7610693719106172,40.40441945766855,1.0783964543693676,0.2187086476895426,0.3035,0.2275,0.1576,0.2578,0.6512,24092,17812,603,1987,2873,13064,123391.0,13064,3584,24028,39.3,0.2743417023882425,10.03237589241242
90404,940.5,90.0,9.569377990430622,95.26120676625392,0.9816836113613062,42.94927107163114,1.2125594328751297,0.410477433706681,0.7023,0.6047,0.4687,0.5728,0.8772,23975,13359,2211,2953,6770,10492,87209.0,10492,2307,23236,36.0,0.219881814715974,13.551616266944736
90405,1158.5,82.5,7.121277514026758,85.6929152762589,0.8211754549262001,41.3461004843282,1.1147776782921182,0.2736380269675522,0.3708,0.414,0.1217,0.3462,0.5562,26981,19424,1352,1916,4383,14000,101713.0,14000,4363,26864,39.3,0.3116428571428571,10.48144990919536
90501,2350.5,192.5,8.189746862369708,84.22272348891472,0.8399357489424825,35.762925600633835,0.9038716285343288,0.5079141796515313,0.7526,0.6971,0.482,0.8062,0.8146,42536,12653,2378,11634,18256,14607,89926.0,14607,6816,42434,26.0,0.4666255904703224,11.402106451006206
