ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,Births_Bachelor's_Degree,Births_Graduate_Degree,Births_High_School_Graduate_or_GED_Completed,Births_No_High_School_Diploma,"Births_Some_College_Credit,_No_4-Year_Degree",Births_Unknown,Births_15_years_and_under,Births_16___17_years,Births_18___19_years,Births_20___24_years,Births_25___29_years,Births_30___34_years,Births_35___39_years,Births_40___44_years,Births_45___49_years,Births_50_years_and_over/Unknown,Births_First_Trimester,Births_No_Prenatal_Care,Births_Second_Trimester,Births_Third_Trimester,Births_Unknown_Not_Reported
91340,1989.5,162.5,8.16788137723046,230.0,84.0,686.0,288.0,599.0,81.5,11.0,27.5,66.5,360.0,559.0,558.0,306.0,93.0,22.0,0.0,1730.0,27.5,172.0,38.0,22.0
91342,5263.0,420.0,7.980239407182216,783.0,380.0,1686.0,588.0,1649.0,170.5,5.5,38.0,134.0,902.0,1440.0,1538.0,915.0,263.0,27.5,11.0,4593.0,27.5,472.0,129.0,33.0
91343,3312.0,272.0,8.212560386473431,614.0,249.0,944.0,625.0,768.0,109.0,22.0,40.5,112.0,532.0,829.0,969.0,637.0,173.0,27.5,5.5,2913.0,11.0,284.0,77.5,27.5
91344,2289.5,192.5,8.407949333915703,754.0,429.0,364.0,47.0,560.0,95.0,0.0,5.5,27.5,157.0,521.0,811.0,611.0,128.0,27.5,11.0,2038.0,16.5,146.0,37.0,27.5
91345,967.5,88.0,9.095607235142118,197.0,93.0,244.0,77.0,304.0,43.5,0.0,22.0,27.5,112.0,263.0,330.0,189.0,34.0,16.5,0.0,841.0,11.0,86.0,27.5,27.5
91350,2233.0,172.0,7.702642185400806,851.0,426.0,233.0,27.5,632.0,45.5,0.0,11.0,27.5,95.0,487.0,941.0,541.0,118.0,22.0,16.5,2026.0,11.0,155.0,33.0,16.5
91351,1785.5,148.5,8.316998039764771,379.0,198.0,458.0,129.0,551.0,41.0,0.0,33.0,27.5,209.0,431.0,582.0,389.0,82.0,11.0,5.5,1563.0,27.5,143.0,27.5,27.5
91352,2467.0,192.0,7.782732063234699,327.0,142.0,796.0,394.0,700.0,89.5,5.5,27.5,56.0,431.0,718.0,690.0,415.0,108.0,27.5,11.0,1992.0,22.0,310.0,78.5,48.0
91354,1546.0,134.0,8.667529107373868,644.0,381.0,125.0,27.5,346.0,27.5,0.0,0.0,5.5,59.0,264.0,655.0,437.0,97.0,27.5,5.5,1419.0,11.0,83.0,27.5,16.5
91355,1387.5,112.5,8.108108108108109,543.0,272.0,139.0,27.5,372.0,27.5,0.0,5.5,22.0,63.5,339.0,530.0,340.0,71.0,22.0,0.0,1223.0,5.5,104.0,27.5,22.0
91356,1458.5,147.0,10.0788481316421,438.0,353.0,232.0,43.5,274.0,67.5,0.0,5.5,22.0,84.5,274.0,508.0,415.0,105.0,27.5,16.5,1328.0,22.0,49.0,27.5,27.5
91361,630.0,77.0,12.22222222222222,238.0,189.0,64.5,27.5,63.5,27.5,5.5,0.0,5.5,27.5,92.0,228.0,191.0,50.0,22.0,16.5,563.0,0.0,27.5,16.5,27.5
91362,1331.0,116.0,8.715251690458302,477.0,363.0,181.0,41.5,188.0,38.5,5.5,16.5,22.0,61.5,233.0,507.0,358.0,106.0,27.5,11.0,1232.0,11.0,39.0,22.0,16.5
91364,1216.0,104.5,8.59375,479.0,341.0,117.0,27.5,187.0,62.5,0.0,0.0,11.0,27.5,136.0,446.0,438.0,132.0,22.0,5.5,1120.0,0.0,39.0,22.0,27.5
91367,2301.0,195.0,8.47457627118644,875.0,580.0,295.0,27.5,395.0,108.0,0.0,11.0,16.5,105.0,426.0,874.0,677.0,163.0,27.5,22.0,2124.0,16.5,86.5,33.0,27.5
91381,791.0,82.5,10.429835651074589,304.0,183.0,60.5,27.5,178.0,27.5,0.0,0.0,22.0,33.0,147.0,264.0,242.0,48.5,22.0,5.5,682.0,5.5,53.0,27.5,11.0
91382,16.5,0.0,0.0,0.0,11.0,0.0,5.5,11.0,0.0,0.0,0.0,0.0,5.5,5.5,11.0,0.0,5.5,0.0,0.0,16.5,0.0,5.5,0.0,0.0
91384,1164.5,96.5,8.286818376985831,385.0,141.0,184.0,27.5,389.0,28.5,0.0,16.5,27.5,98.0,300.0,418.0,263.0,45.5,27.5,0.0,1036.0,16.5,99.5,22.0,11.0
91387,2489.5,201.5,8.093994778067886,638.0,294.0,541.0,139.0,805.0,54.5,0.0,27.5,33.0,240.0,646.0,850.0,533.0,136.0,27.5,16.5,2168.0,27.5,256.0,34.0,27.5
91390,762.0,71.5,9.383202099737533,245.0,117.0,107.0,22.0,240.0,27.5,0.0,0.0,22.0,62.0,170.0,291.0,172.0,33.0,5.5,0.0,677.0,11.0,33.0,27.5,11.0
91401,2031.5,144.5,7.112970711297072,512.0,301.0,421.0,262.0,442.0,75.0,11.0,27.5,27.5,214.0,453.0,669.0,485.0,138.0,27.5,11.0,1788.0,11.0,165.0,27.5,27.5
91402,3907.0,345.0,8.830304581520348,453.0,152.0,1215.0,939.0,977.0,157.5,27.5,56.0,153.0,808.0,1093.0,923.0,646.0,188.0,16.5,5.5,3346.0,27.5,351.0,134.0,38.5
91403,1463.0,135.5,9.26179084073821,618.0,446.0,90.0,27.5,207.0,53.5,0.0,11.0,5.5,27.5,170.0,551.0,532.0,138.0,27.5,5.5,1324.0,5.5,68.0,22.0,27.5
91405,3179.5,253.5,7.972951721968863,541.0,275.0,831.0,654.0,749.0,114.0,5.5,27.5,115.0,492.0,887.0,902.0,571.0,158.0,22.0,16.5,2727.0,22.0,284.0,97.5,33.0
91406,2936.0,229.0,7.799727520435967,621.0,342.0,727.0,432.0,703.0,94.0,16.5,27.5,56.5,355.0,697.0,982.0,637.0,154.0,27.5,11.0,2619.0,22.0,226.0,33.0,35.0
91411,1385.5,137.5,9.924215084806928,333.0,181.0,233.0,259.0,293.0,58.0,5.5,22.0,27.5,178.0,260.0,460.0,317.0,85.0,16.5,11.0,1212.0,11.0,96.0,27.5,27.5
91423,1573.5,133.5,8.484270734032412,635.0,468.0,110.0,27.5,263.0,42.5,0.0,0.0,11.0,27.5,177.0,616.0,554.0,149.0,27.5,11.0,1429.0,16.5,79.0,22.0,27.5
91436,711.0,77.0,10.829817158931084,296.0,263.0,27.5,11.0,53.0,27.5,0.0,0.0,5.5,16.5,41.5,240.0,292.0,81.0,22.0,0.0,651.0,0.0,27.5,27.5,22.0
91501,936.5,100.5,10.731446876668446,333.0,269.0,86.0,22.0,146.0,66.5,5.5,5.5,11.0,27.5,171.0,365.0,262.0,65.0,16.5,5.5,791.0,11.0,62.0,27.5,22.0
91502,532.5,77.0,14.460093896713616,155.0,85.0,100.0,27.5,107.0,33.0,0.0,5.5,16.5,27.5,123.0,174.0,125.0,27.5,22.0,0.0,410.0,11.0,55.0,22.0,16.5
91503,11.0,0.0,0.0,0.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0
91504,1215.5,97.5,8.02139037433155,434.0,277.0,138.0,27.5,261.0,48.5,0.0,11.0,27.5,50.0,208.0,494.0,335.0,82.0,27.5,11.0,1018.0,16.5,122.0,27.5,27.5
91505,1304.0,117.0,8.97239263803681,541.0,297.0,124.0,27.5,250.0,27.5,5.5,11.0,22.0,58.5,171.0,445.0,442.0,140.0,11.0,5.5,1084.0,11.0,136.0,27.5,27.5
91506,736.5,88.0,11.948404616429055,316.0,170.0,81.5,22.0,111.0,33.0,0.0,5.5,5.5,27.5,124.0,257.0,227.0,61.5,22.0,0.0,610.0,11.0,76.0,16.5,22.0
91521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91522,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0
91523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91601,1777.5,143.5,8.073136427566807,564.0,278.0,309.0,144.0,393.0,61.5,0.0,27.5,27.5,144.0,363.0,623.0,460.0,115.0,22.0,0.0,1504.0,22.0,149.0,55.5,33.0
91602,911.5,84.0,9.215578716401536,416.0,244.0,65.0,27.5,138.0,27.5,0.0,0.0,11.0,33.0,110.0,332.0,349.0,78.0,22.0,5.5,811.0,5.5,61.5,27.5,27.5
91604,1514.0,125.0,8.256274768824307,674.0,467.0,86.0,27.5,183.0,57.0,0.0,5.5,11.0,27.5,158.0,548.0,577.0,158.0,27.5,11.0,1379.0,5.5,67.5,27.5,27.5
91605,2853.0,250.0,8.762705923589206,443.0,206.0,869.0,445.0,785.0,99.0,11.0,27.5,60.5,443.0,865.0,835.0,470.0,147.0,22.0,0.0,2400.0,27.5,289.0,91.0,54.5
91606,2125.5,151.5,7.127734650670431,443.0,222.0,557.0,259.0,549.0,73.0,11.0,27.5,55.0,273.0,566.0,658.0,425.0,108.0,22.0,5.5,1766.0,22.0,205.0,82.0,36.0
91607,1579.5,118.5,7.502374169040836,565.0,344.0,202.0,35.0,336.0,58.5,0.0,5.5,11.0,96.0,298.0,548.0,467.0,128.0,22.0,5.5,1392.0,11.0,105.0,36.0,27.5
91608,5.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0
91702,3416.0,250.0,7.318501170960187,619.0,326.0,901.0,358.0,1122.0,88.5,16.5,27.5,91.0,545.0,946.0,1004.0,617.0,161.0,27.5,11.0,2966.0,27.5,273.0,49.5,99.0
91706,4103.0,338.0,8.237874725810384,511.0,155.0,1344.0,461.0,1520.0,109.5,11.0,27.5,116.0,738.0,1209.0,1180.0,648.0,169.0,22.0,16.5,3624.0,33.0,287.0,63.5,89.5
91709,3700.0,265.0,7.162162162162162,1271.0,740.0,472.0,56.5,864.0,276.0,5.5,11.0,27.5,246.0,845.0,1437.0,911.0,202.0,27.5,11.0,3269.0,27.5,243.0,81.0,71.0
91711,1142.0,101.0,8.84413309982487,335.0,352.0,106.0,22.0,210.0,85.0,5.5,5.5,27.5,51.0,189.0,394.0,352.0,92.0,22.0,5.5,999.0,22.0,52.5,22.0,27.5
91722,1870.0,167.0,8.930481283422461,383.0,202.0,428.0,94.5,686.0,56.5,5.5,22.0,33.0,267.0,491.0,606.0,353.0,84.0,27.5,0.0,1644.0,16.5,139.0,27.5,47.5
91723,1047.5,113.0,10.787589498806682,194.0,95.0,236.0,50.0,393.0,46.5,5.5,16.5,27.5,125.0,269.0,330.0,195.0,56.0,16.5,0.0,900.0,27.5,76.5,27.5,27.5
91724,1298.5,123.5,9.510974201001156,319.0,169.0,243.0,55.0,447.0,41.0,0.0,22.0,27.5,153.0,322.0,414.0,278.0,77.0,16.5,5.5,1149.0,16.5,84.0,27.5,27.5
91731,1518.0,137.0,9.025032938076416,178.0,72.5,524.0,248.0,437.0,39.0,11.0,27.5,35.0,278.0,458.0,382.0,258.0,54.0,16.5,0.0,1301.0,27.5,125.0,27.5,37.5
91732,3291.0,238.0,7.231844424187177,395.0,114.0,1151.0,592.0,969.0,69.5,16.5,33.0,121.0,630.0,881.0,963.0,502.0,143.0,22.0,11.0,2844.0,27.5,279.0,60.0,86.0
91733,2367.5,199.5,8.426610348468849,262.0,86.0,812.0,445.0,696.0,45.0,11.0,27.5,91.5,516.0,668.0,580.0,350.0,105.0,16.5,0.0,2021.0,27.5,200.0,37.0,66.5
91740,1256.0,0.0,0.0,323.0,218.0,201.0,27.5,445.0,39.0,0.0,16.5,27.5,113.0,327.0,450.0,285.0,52.0,22.0,0.0,1110.0,16.5,92.0,22.0,39.0
91741,1085.0,0.0,0.0,377.0,248.0,105.0,27.5,305.0,34.0,0.0,11.0,11.0,72.5,261.0,409.0,249.0,74.0,27.5,5.5,985.0,16.5,54.0,22.0,22.0
91744,4716.0,0.0,0.0,561.0,184.0,1562.0,621.0,1680.0,107.5,27.5,34.0,149.0,880.0,1368.0,1323.0,753.0,186.0,16.5,11.0,4163.0,27.5,355.0,42.5,120.5
91745,2577.0,0.0,0.0,774.0,387.0,467.0,111.0,732.0,106.0,11.0,27.5,27.5,224.0,617.0,918.0,620.0,136.0,22.0,22.0,2257.0,22.0,192.0,78.0,43.0
91746,1643.0,0.0,0.0,217.0,52.0,558.0,164.0,605.0,41.0,11.0,22.0,48.5,330.0,497.0,451.0,230.0,58.0,16.5,5.5,1439.0,16.5,133.0,27.5,58.5
91748,3772.0,0.0,0.0,1364.0,689.0,569.0,186.0,841.0,123.0,5.5,22.0,34.0,258.0,825.0,1459.0,915.0,241.0,27.5,22.0,3296.0,27.5,240.0,170.0,40.0
91750,1242.0,0.0,0.0,372.0,239.0,180.0,27.5,360.0,49.5,5.5,27.5,27.5,109.0,281.0,463.0,293.0,53.0,11.0,11.0,1097.0,27.5,90.0,27.5,27.5
91754,2275.0,0.0,0.0,722.0,445.0,322.0,85.5,635.0,55.0,0.0,5.5,27.5,139.0,505.0,867.0,583.0,151.0,27.5,11.0,1821.0,22.0,174.0,229.0,51.0
91755,1281.0,0.0,0.0,404.0,211.0,256.0,56.5,316.0,33.0,5.5,5.5,22.0,87.0,266.0,488.0,349.0,64.5,27.5,5.5,1082.0,16.5,113.0,63.0,27.5
91759,27.5,0.0,0.0,16.5,27.5,5.5,5.5,22.0,22.0,0.0,0.0,0.0,11.0,11.0,22.0,27.5,5.5,0.0,0.0,27.5,0.0,16.5,0.0,0.0
91765,2151.0,0.0,0.0,878.0,494.0,188.0,27.5,450.0,120.0,5.5,16.5,22.0,105.0,451.0,837.0,565.0,162.0,27.5,16.5,1923.0,27.5,125.0,59.0,31.5
91766,4205.0,0.0,0.0,496.0,205.0,1412.0,662.0,1196.0,234.0,27.5,33.0,157.0,867.0,1273.0,1117.0,567.0,155.0,27.5,16.5,3624.0,27.5,383.0,93.0,69.0
91767,3048.0,0.0,0.0,462.0,178.0,1001.0,402.0,853.0,152.0,16.5,27.5,102.5,586.0,869.0,862.0,487.0,97.0,16.5,5.5,2590.0,27.5,312.0,66.5,45.5
91768,1933.0,0.0,0.0,182.0,92.0,700.0,287.0,598.0,73.0,11.0,27.5,87.5,412.0,565.0,510.0,262.0,60.5,16.5,11.0,1662.0,27.5,195.0,27.5,30.5
91770,2616.0,0.0,0.0,597.0,268.0,706.0,246.0,700.0,95.5,5.5,27.5,39.5,277.0,638.0,879.0,605.0,149.0,22.0,16.5,2242.0,22.0,250.0,84.5,27.5
91773,1475.5,116.5,7.895628600474415,475.0,291.0,166.0,33.0,435.0,47.5,5.5,0.0,27.5,105.0,287.0,587.0,370.0,66.5,22.0,5.5,1304.0,16.5,82.0,35.0,33.5
91775,1115.0,104.5,9.37219730941704,416.0,249.0,117.0,58.5,217.0,38.5,5.5,5.5,16.5,50.0,175.0,348.0,351.0,112.0,34.0,27.5,931.0,11.0,123.0,27.5,27.5
91776,1830.0,147.0,8.032786885245901,493.0,230.0,416.0,145.0,439.0,73.5,0.0,5.5,27.5,151.0,424.0,681.0,419.0,98.0,11.0,11.0,1557.0,11.0,160.0,59.0,27.5
91780,1824.5,150.0,8.22143052891203,651.0,391.0,239.0,66.0,376.0,51.5,0.0,5.5,22.0,110.0,365.0,695.0,483.0,113.0,22.0,0.0,1545.0,11.0,115.0,98.5,22.0
91789,1875.5,134.5,7.171420954412157,726.0,454.0,199.0,27.5,374.0,74.5,0.0,0.0,22.0,80.0,374.0,706.0,532.0,142.0,22.0,5.5,1644.0,5.5,110.0,62.5,33.0
91790,2214.0,149.0,6.729900632339657,511.0,201.0,520.0,122.0,772.0,68.0,5.5,27.5,34.0,284.0,612.0,719.0,416.0,100.0,22.0,5.5,1972.0,16.5,145.0,27.5,63.5
91791,1671.5,150.5,9.003888722704158,422.0,236.0,307.0,53.5,541.0,68.0,11.0,16.5,27.5,184.0,434.0,533.0,359.0,94.0,16.5,5.5,1472.0,16.5,101.0,35.0,41.5
91792,1451.0,140.0,9.648518263266713,320.0,146.0,335.0,81.0,495.0,39.0,0.0,27.5,27.5,190.0,379.0,438.0,290.0,81.0,22.0,5.5,1236.0,22.0,111.0,27.5,45.0
91801,2416.5,193.5,8.007448789571695,724.0,507.0,401.0,95.0,599.0,83.0,0.0,16.5,27.5,165.0,518.0,901.0,624.0,160.0,27.5,5.5,2131.0,5.5,211.0,42.0,27.5
91803,1270.5,125.0,9.838646202282566,363.0,231.0,261.0,44.5,311.0,27.5,0.0,11.0,27.5,95.5,250.0,458.0,332.0,85.0,22.0,0.0,1120.0,5.5,100.0,27.5,22.0
92397,323.0,55.0,17.027863777089784,69.5,27.5,39.0,22.0,106.0,33.0,0.0,0.0,11.0,36.0,63.5,104.0,53.0,27.5,5.5,0.0,242.0,16.5,27.5,16.5,22.0
93532,148.0,27.5,18.58108108108108,27.5,11.0,27.5,22.0,40.5,0.0,0.0,0.0,11.0,27.5,27.5,39.5,22.0,16.5,5.5,0.0,96.0,0.0,27.5,0.0,0.0
93535,5709.5,547.5,9.589281022856644,430.0,109.0,1873.0,997.0,2215.0,108.5,22.0,97.5,283.0,1364.0,1712.0,1344.0,698.0,206.0,22.0,27.5,3995.0,142.0,1276.0,269.0,62.0
93536,4025.5,349.5,8.68215128555459,727.0,347.0,892.0,255.0,1722.0,81.5,22.0,27.5,88.0,646.0,1216.0,1289.0,602.0,140.0,22.0,27.5,3181.0,41.5,660.0,111.0,28.0
93543,831.5,101.0,12.146722790138304,40.5,22.0,266.0,149.0,315.0,33.0,5.5,27.5,27.5,207.0,257.0,183.0,99.0,27.5,11.0,5.5,596.0,22.0,155.0,27.5,11.0
93544,115.5,22.0,19.047619047619047,22.0,11.0,27.5,11.0,27.5,11.0,0.0,0.0,11.0,22.0,27.5,27.5,16.5,0.0,0.0,0.0,27.5,0.0,27.5,5.5,5.5
93550,5526.0,462.0,8.360477741585234,372.0,105.0,1846.0,993.0,2046.0,170.5,22.0,59.5,215.0,1236.0,1744.0,1403.0,698.0,155.0,27.5,22.0,3952.0,104.0,1142.0,272.0,72.0
93551,2815.5,241.5,8.577517314864144,523.0,308.0,599.0,185.0,1125.0,65.5,16.5,27.5,95.0,382.0,763.0,916.0,489.0,128.0,16.5,11.0,2211.0,27.5,454.0,74.5,44.0
93552,2391.5,238.5,9.972820405603178,220.0,45.5,771.0,326.0,947.0,65.5,22.0,27.5,94.0,569.0,705.0,562.0,302.0,99.0,27.5,0.0,1779.0,27.5,455.0,97.0,34.5
93553,137.5,33.0,24.0,27.5,11.0,27.5,27.5,27.5,16.5,0.0,16.5,22.0,27.5,27.5,27.5,27.5,16.5,0.0,0.0,60.0,5.5,27.5,5.5,0.0
93563,11.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0
93591,475.5,66.0,13.8801261829653,27.5,16.5,149.0,104.0,151.0,22.0,0.0,22.0,27.5,96.0,155.0,100.0,47.0,27.5,22.0,5.5,306.0,22.0,106.0,27.5,5.5
